AU011858,            ONE,     00,
18600223, 1200,  , TD, 15.2S, 100.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18600223, 1800,  , TD, 15.6S, 100.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18600224, 0000,  , TD, 15.8S, 100.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18600224, 0600,  , TD, 16.0S, 100.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU011861,            ONE,     00,
18610311, 0600,  , TD, 11.3S, 100.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610311, 1200,  , TD, 11.3S, 100.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610311, 1800,  , TD, 11.3S, 100.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610312, 0000,  , TD, 11.4S, 100.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610312, 0600,  , TD, 11.6S, 99.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610312, 1200,  , TD, 11.9S, 98.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610312, 1800,  , TD, 12.2S, 97.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610313, 0000,  , TD, 12.6S, 95.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610313, 0600,  , TD, 12.9S, 94.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610313, 1200,  , TD, 13.1S, 94.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610313, 1800,  , TD, 13.2S, 93.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610314, 0000,  , TD, 13.3S, 93.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610314, 0600,  , TD, 13.4S, 92.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610314, 1200,  , TD, 13.5S, 92.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610314, 1800,  , TD, 13.6S, 92.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610315, 0000,  , TD, 13.6S, 92.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610315, 0600,  , TD, 13.7S, 91.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610315, 1200,  , TD, 13.8S, 91.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610315, 1800,  , TD, 13.8S, 91.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610316, 0000,  , TD, 13.9S, 90.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18610316, 0600,  , TD, 13.9S, 90.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU011862,            ONE,     00,
18620101, 0600,  , TD, 12.4S, 104.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620101, 1200,  , TD, 12.3S, 104.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620101, 1800,  , TD, 12.3S, 103.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620102, 0000,  , TD, 12.5S, 103.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620102, 0600,  , TD, 13.0S, 103.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620102, 1200,  , TD, 13.8S, 102.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620102, 1800,  , TD, 14.9S, 101.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620103, 0000,  , TD, 16.0S, 100.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620103, 0600,  , TD, 17.2S, 99.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620103, 1200,  , TD, 18.3S, 98.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620103, 1800,  , TD, 19.3S, 97.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620104, 0000,  , TD, 20.2S, 97.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620104, 0600,  , TD, 20.9S, 97.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620104, 1200,  , TD, 21.4S, 96.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620104, 1800,  , TD, 21.7S, 96.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620105, 0000,  , TD, 21.8S, 96.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620105, 0600,  , TD, 21.9S, 96.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU021862,            TWO,     00,
18620221, 0600,  , TD, 23.4S, 91.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620221, 1200,  , TD, 23.4S, 91.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620221, 1800,  , TD, 23.5S, 91.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620222, 0000,  , TD, 23.6S, 90.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620222, 0600,  , TD, 23.8S, 89.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620222, 1200,  , TD, 24.1S, 88.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620222, 1800,  , TD, 24.6S, 86.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620223, 0000,  , TD, 25.0S, 85.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620223, 0600,  , TD, 25.3S, 83.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620223, 1200,  , TD, 25.5S, 82.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620223, 1800,  , TD, 25.7S, 82.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620224, 0000,  , TD, 25.8S, 82.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620224, 0600,  , TD, 25.9S, 81.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU031862,            THREE,     00,
18620301, 0600,  , TD, 19.2S, 101.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620301, 1200,  , TD, 19.2S, 101.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620301, 1800,  , TD, 19.2S, 100.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620302, 0000,  , TD, 19.3S, 100.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620302, 0600,  , TD, 19.4S, 100.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620302, 1200,  , TD, 19.6S, 99.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620302, 1800,  , TD, 19.9S, 99.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620303, 0000,  , TD, 20.2S, 98.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620303, 0600,  , TD, 20.5S, 98.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620303, 1200,  , TD, 20.7S, 97.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620303, 1800,  , TD, 21.0S, 97.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620304, 0000,  , TD, 21.2S, 97.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620304, 0600,  , TD, 21.4S, 97.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620304, 1200,  , TD, 21.6S, 96.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620304, 1800,  , TD, 21.8S, 96.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620305, 0000,  , TD, 21.9S, 96.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18620305, 0600,  , TD, 22.1S, 96.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU041862,            FOUR,     00,
18621211, 0600,  , TD, 6.8S, 90.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621211, 1200,  , TD, 7.0S, 89.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621211, 1800,  , TD, 7.3S, 89.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621212, 0000,  , TD, 7.5S, 88.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621212, 0600,  , TD, 7.7S, 88.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621212, 1200,  , TD, 7.9S, 87.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621212, 1800,  , TD, 8.1S, 87.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621213, 0000,  , TD, 8.4S, 86.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621213, 0600,  , TD, 8.7S, 86.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621213, 1200,  , TD, 9.2S, 85.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621213, 1800,  , TD, 9.7S, 85.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621214, 0000,  , TD, 10.3S, 84.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621214, 0600,  , TD, 10.9S, 84.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621214, 1200,  , TD, 11.4S, 84.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621214, 1800,  , TD, 11.8S, 83.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621215, 0000,  , TD, 12.2S, 83.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621215, 0600,  , TD, 12.7S, 83.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621215, 1200,  , TD, 13.3S, 83.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621215, 1800,  , TD, 13.8S, 83.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621216, 0000,  , TD, 14.4S, 83.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621216, 0600,  , TD, 15.0S, 82.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621216, 1200,  , TD, 15.5S, 82.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621216, 1800,  , TD, 16.0S, 82.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621217, 0000,  , TD, 16.5S, 82.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18621217, 0600,  , TD, 16.9S, 82.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU011865,            ONE,     00,
18650211, 0600,  , TD, 12.0S, 94.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650211, 1200,  , TD, 12.5S, 93.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650211, 1800,  , TD, 13.0S, 92.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650212, 0000,  , TD, 13.4S, 91.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650212, 0600,  , TD, 13.8S, 90.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650212, 1200,  , TD, 14.1S, 89.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650212, 1800,  , TD, 14.3S, 89.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650213, 0000,  , TD, 14.6S, 88.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650213, 0600,  , TD, 15.0S, 87.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650213, 1200,  , TD, 15.5S, 86.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650213, 1800,  , TD, 16.0S, 85.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650214, 0000,  , TD, 16.7S, 83.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650214, 0600,  , TD, 17.6S, 82.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650214, 1200,  , TD, 18.7S, 80.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650214, 1800,  , TD, 20.0S, 78.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650215, 0000,  , TD, 21.2S, 76.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650215, 0600,  , TD, 22.3S, 74.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650215, 1200,  , TD, 23.0S, 73.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650215, 1800,  , TD, 23.6S, 72.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650216, 0000,  , TD, 24.0S, 72.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650216, 0600,  , TD, 24.4S, 71.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650216, 1200,  , TD, 24.7S, 71.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650216, 1800,  , TD, 25.1S, 71.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650217, 0000,  , TD, 25.4S, 70.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18650217, 0600,  , TD, 25.7S, 70.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU011866,            ONE,     00,
18660301, 0600,  , TD, 13.1S, 91.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660301, 1200,  , TD, 13.3S, 90.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660301, 1800,  , TD, 13.4S, 90.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660302, 0000,  , TD, 13.6S, 90.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660302, 0600,  , TD, 13.7S, 89.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660302, 1200,  , TD, 13.8S, 89.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660302, 1800,  , TD, 13.9S, 89.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660303, 0000,  , TD, 14.0S, 89.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660303, 0600,  , TD, 14.1S, 88.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660303, 1200,  , TD, 14.2S, 88.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660303, 1800,  , TD, 14.4S, 88.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660304, 0000,  , TD, 14.5S, 88.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660304, 0600,  , TD, 14.7S, 87.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660304, 1200,  , TD, 14.8S, 87.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660304, 1800,  , TD, 15.0S, 87.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660305, 0000,  , TD, 15.2S, 87.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660305, 0600,  , TD, 15.3S, 86.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660305, 1200,  , TD, 15.4S, 86.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660305, 1800,  , TD, 15.5S, 86.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660306, 0000,  , TD, 15.7S, 86.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660306, 0600,  , TD, 15.9S, 85.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660306, 1200,  , TD, 16.3S, 85.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660306, 1800,  , TD, 16.8S, 84.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660307, 0000,  , TD, 17.3S, 84.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660307, 0600,  , TD, 17.8S, 83.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660307, 1200,  , TD, 18.2S, 83.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660307, 1800,  , TD, 18.4S, 83.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660308, 0000,  , TD, 18.6S, 82.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660308, 0600,  , TD, 18.8S, 82.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU011870,            ONE,     00,
18700221, 0600,  , TD, 20.3S, 109.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700221, 1200,  , TD, 20.8S, 108.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700221, 1800,  , TD, 21.2S, 108.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700222, 0000,  , TD, 21.6S, 107.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700222, 0600,  , TD, 22.0S, 107.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700222, 1200,  , TD, 22.3S, 106.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700222, 1800,  , TD, 22.5S, 106.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18700223, 0000,  , TD, 22.8S, 106.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
